# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Mon Nov  3 00:17:10 UTC 2025

ACC | GOOD.
ACS | Aussie Classics
ANI | Animal Planet
ARN | Arena
ASP | Sky News Extra
BCS | British Cinema
BLM | Bloomberg Television
BXS | BoxSets
CIN | Real Crime
CMT | CMC
CNB | CNBC
CNN | CNN International
DID | Investigation Discovery
DIS | Discovery Channel
DIT | Discovery Turbo
DPS | DocPlay
DRM | DreamWorks
DTA | TLC
ES2 | ESPN2
ESP | ESPN
F1S | Foxtel One
FAF | FOX Footy
FHT | FashionTV
FKC | Classics
FNC | FOX News
FOD | LifeStyle Food
FOX | FOX8
FS1 | FOX CRICKET
FS3 | Fox Sports 503
FSN | FOX SPORTS NEWS
FSP | Fox Sports 505
FSS | Fox Sports More
FSU | British
FXW | SKY Weather
GBN | GB News
GRR | Movies Greats
HAL | Universal TV
HAR | Seinfeld
HIT | Comedy
HST | Real History
IOI | Crime
LHO | LifeStyle Home
LST | LifeStyle
MO6 | Movies Drama
MSN | MSNBC
MTC | Retro
MVS | Movies Hits - Halloween
NAP | Australian Played
NAT | Nature Time
NHK | NHK World
NMU | Kids
NPO | Get2Know
NRW | Max
PUH | PULP
RLS | Real Life
RTV | RACING.COM
SHA | Movies Action
SHC | Showcase
SHD | Movies Romance
SHF | Movies Family
SHO | Movies Premiere
SHY | Movies Comedy
SKY | SKY NEWS
SP2 | FOX League
SPS | Fox Sports 506
SR2 | Sky Racing 2
SRA | Sky Racing 1
SRW | Sky Racing Thoroughbred Central
SUK | SKY NEWS UK
TMF | Trending
TRS | Murder, She Wrote HD
TVS | TVSN
UFC | Main Event UFC
UKT | UKTV
UP2 | P Bros Pop Up
VH1 | Club
