# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Sun Nov  2 00:17:36 UTC 2025

/esaguila-roja | Águila Roja
/esmytime-movie-network | MyTime Movie Network
/esruntime-accion | Runtime Acción
/esruntime-clasicos | Runtime Clásicos
/esruntime-comedia | Runtime Comedia
/esruntime-romance | Runtime Romance
/esruntime-series | Runtime Series
/esruntime-thriller | Runtime Thriller
1+1 International | 1+1 International
1-1-travel | 1+1 Travel
13.TV.es | 13 TV
24 Horas | 24 Horas
24 horas Canarias | 24 horas Canarias
24 horas Cataluña | 24 horas Cataluña
3/24.es | 3/24
324.es | 324
3CatInfo Catalunya | 3CatInfo Catalunya
3CatInfo | 3CatInfo
4K.Travel.TV.es | 4K Travel TV
5-minutes-craft-es | Ideas en 5 minutos
5f1aa9bcd8160700076d45d1 | Pluto TV Junior
5f1aab1d29b39600073e243f | Pluto TV Kids
5f1aadf373bed3000794d1d7 | MTV Originals
5f1ab3c7778230000735cf41 | MTV Catfish TV Show
5f1abce155a03d0007718834 | Pluto TV Comedia made in Spain
5f1abf5fafb5ee0007d4d0ca | FailArmy
5f1ac1f1b66c76000790ef27 | Pluto TV Cine Estelar
5f1ac2591dd8880007bb7d6d | Pluto TV Cine Acción
5f1ac8099c49f600076579b2 | Pluto TV Cine Comedia
5f1ac8a87cd38d000745d7cf | Pluto TV Thrillers
5f1ac8f49205650007bc15f1 | Pluto TV Series
5f1ac947dcd00d0007937c08 | Pluto TV Cine Drama
5f1ac9a2d3611d0007a844bb | Pluto TV Cine Romántico
5f1aca0b4e448e00075e7c5e | Bob Esponja
5f1aca8310a30e00074fab92 | Los Asesinatos de Midsomer
5f1acba0d1f6340007db8843 | Los nuevos detectives
5f1acbed25948a0007ffbe65 | Los archivos del FBI
5f1acce7f17797000718f9be | Ana y los 7
5f1acd36779de70007a680d1 | Curro Jiménez
5f1acdaa8ba90f0007d5e760 | Pluto TV Cocina
5f28009b150b2500077766b8 | Vaya semanita
5f6a38eaa5b68b0007a00e7a | Pluto TV Sci-Fi
5f984f4a09e92d0007d74647 | Archivos Forenses
5f9853138d19af0007104a8d | Pluto TV Series Comedia
5f98537a5a4341000733aefe | MTV Embarazada a los 16
600169ec77e6f70008fa9cf0 | MTV Dating
600ae6a78d801e0007117d21 | Pluto TV Animales
60218baa464ef900073168c1 | Empeños a lo bestia
604f8125c6669b00077f7699 | Wipeout
604f81a49ef73300070e554f | MTV Teen Mom
6076cd1df8576d0007c82193 | VH1 Classics
6080345ebb49b90007ce0baf | Pluto TV Motor
608035b8d8705f0007260287 | Pluto TV Anime
6080381ab7c9ea00074ec64c | World Poker Tour
6086d3f420fc8500075f8dbf | Runtime
609e7e423e9173000706a681 | Pluto TV Kids Classics
60a26a056d55b30007918d5a | MTV Music Made in Spain
