# Mapeo de canales del Reino Unido
# Formato: CANAL_ID_EXACTO_DE_FUENTE,NOMBRE_MOSTRAR

# BBC Channels principales
BBC.One.Lon.HD.uk,BBC One London
BBC.One.ScotHD.uk,BBC One Scotland  
BBC.One.Wal.HD.uk,BBC One Wales
BBC.One.NI.HD.uk,BBC One Northern Ireland
BBC.One.EastHD.uk,BBC One East
BBC.One.N.West.HD.uk,BBC One North West
BBC.One.NE.and.C.HD.uk,BBC One North East & Cumbria
BBC.One.S.East.HD.uk,BBC One South East
BBC.One.S.West.HD.uk,BBC One South West
BBC.One.Sth.HD.uk,BBC One South
BBC.One.WM.HD.uk,BBC One West Midlands
BBC.One.West.HD.uk,BBC One West
BBC.One.Y.and.L.HD.uk,BBC One Yorkshire & Lincolnshire
BBC.One.Yorks.HD.uk,BBC One Yorkshire
BBC.One.E.Mid.HD.uk,BBC One East Midlands
BBC.One.CI.HD.uk,BBC One Channel Islands
BBC.Two.HD.uk,BBC Two
BBC.Two.NI.HD.uk,BBC Two Northern Ireland
BBC.Two.Wal.HD.uk,BBC Two Wales
BBC.Three.HD.uk,BBC Three
BBC.Four.HD.uk,BBC Four
BBC.NEWS.HD.uk,BBC News
BBC.Parliament.HD.uk,BBC Parliament
BBC.ALBA.HD.uk,BBC Alba
BBCScotlandHD.uk,BBC Scotland

# ITV Channels
ITV1.HD.uk,ITV1
ITV2.HD.uk,ITV2
ITV3.HD.uk,ITV3
ITV4.HD.uk,ITV4
ITV1+1.uk,ITV1+1
ITV2+1.uk,ITV2+1
ITV3+1.uk,ITV3+1
ITV4+1.uk,ITV4+1

# Channel 4 Group
Channel.4.HD.uk,Channel 4
Channel.4+1.uk,Channel 4+1
E4.HD.uk,E4
E4+1.uk,E4+1
Film4.HD.uk,Film4
Film4+1.uk,Film4+1
More4.HD.uk,More4
More4+1.uk,More4+1

# Channel 5 Group  
Channel.5.HD.uk,Channel 5
Channel.5+1.uk,Channel 5+1
5.USA.uk,5USA
5USA+1.uk,5USA+1
5STAR.uk,5STAR
5STAR+1.uk,5STAR+1
5ACTION.uk,5ACTION
5SELECT.uk,5SELECT

# Children's Channels
CBBC.HD.uk,CBBC
CBeebies.HD.uk,CBeebies
CITV.uk,CITV
Cartoon.Net.HD.uk,Cartoon Network
CN+1.uk,Cartoon Network+1
Cartoonito.uk,Cartoonito
NickelodeonHD.uk,Nickelodeon
Nickelodeon+1.uk,Nickelodeon+1
Nick.Jr..HD.uk,Nick Jr
Nick.Jr+1.uk,Nick Jr+1
Nick.Jr..Too.uk,Nick Jr Too
Nicktoons.uk,Nicktoons
POP.uk,POP
POP+1.uk,POP+1
POP.Max.uk,POP Max
POP.Max+1.uk,POP Max+1
Tiny.Pop.uk,Tiny Pop
Tiny.Pop+1.uk,Tiny Pop+1
BabyTV.uk,Baby TV
Boomerang.HD.uk,Boomerang
Boomerang+1.uk,Boomerang+1

# Sky Sports
SkySp.F1.HD.uk,Sky Sports F1
