# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Wed Jan 21 00:19:11 UTC 2026

4seven.uk | 4seven
5.USA.uk | 5 USA
5ACTION.uk | 5ACTION
5SELECT.uk | 5SELECT
5STAR+1.uk | 5STAR+1
5STAR.uk | 5STAR
5USA+1.uk | 5USA+1
5ad8d3a31b95267e225e4e09 | Pluto TV Movies
5ad8d44cfd87eb3a2717afc5 | MST3K
5ad8d54be738977e2c310940 | Pluto TV Kids
5ad8d796e738977e2c31094a | World Poker Tour
5ad8d883e738977e2c31096b | FailArmy
5bd05b4694d45d266bc951f2 | Unsolved Mysteries
5bd8186d53ed2c6334ea0855 | Pluto TV Reality
5bd81b1053ed2c6334ea0856 | Strongman
5bd833b41843b56328bac189 | Mythbusters
5c363c2411c5ca053f198f97 | Pluto TV Comedy Movies
5c45f5a9d40d58066869fa60 | Ghost Dimension
5c5c2b9d8002db3c3e0b1c6d | Pluto TV Retro Toons
5c5c2e9d8002db3c3e0b1c72 | Homes Under Hammer
5c5c31f2f21b553c1f673fb0 | Pluto TV Cult Films
5c99f5810c95814ff92512f9 | Hunter
5ca1da6c593a5d78f0e7edce | Euronews
5ca1df0d50be2571e393ad31 | Deadly Women
5cb6f6f9a461406ffe4022cf | FBI Files
5d134a74ca91eedee1630faa | Pluto TV Classic TV
5d2c571faeb3e2738ae27933 | 5 Cops
5d4ae94ef1a1bbb350ca41bb | Pluto TV Conspiracy
5d4af00df345adb154b7a1f4 | 21 Jump Street
5d4af1803e7983b391d73b13 | Pluto TV History
5d4af2ffa9506ab29cf38c38 | Pluto TV Paranormal
5d4bdb635ce813b38639e6a3 | Pluto TV Westerns
5d765786aad587cf4d0e2bf6 | Inspector Gadget
5d765984438d93d01eaf107f | Degrassi Next Gen
5d767790d0438aceb41d03ae | Pluto TV Crime
5d9492c77ea6f99188738ff1 | Pluto TV Science
5dbc2f98777f2e0009934ae7 | Pluto TV Space
5dbfeb961b411c00090b52b3 | Pluto TV Action
5dbfedccc563080009b60f4a | Pluto TV Thrillers
5dc02a44a9518600094273ac | Pluto TV Sci-Fi
5dc2ba1a9c91420009db4858 | Nosey
5dc2c00abfed110009d97243 | Pluto TV Sherlock
5dc3fc6b9133f500099c7d98 | Pluto TV Family Movie Club
5ddf8ea0d000120009bcad83 | Pluto TV Animals
5ddf901280e3550009139c86 | 5 Exploring Britain
5ddf91149880d60009d35d27 | Pluto TV Drama
5ddf930548ff9b00090d5686 | Pluto TV Food
5e393d5c696b3b0009775c8b | The New Detectives
5e6f38792075160007d85823 | Hell's Kitchen
5e78faa05a0e200007a6f487 | Full Custom Garage
5e8db96bccae160007c71eec | Andromeda
5e9ed47c26ebb000074af566 | Sensing Murder
5ea18cd42ee5410007e349dc | Crime Investigation
5f27bbe4779de70007a6d1c1 | Ghost Hunters
5f6b51af068f49000746e432 | Master Chef Australia
5f6b535a278bfe000799484a | Dog The Bounty Hunter
5f6b54b9e67cf60007d4cef1 | Duck Dynasty
5f6b5568dfb9ee0007f3a389 | The Wahlburgers
600ad9e56c609c0007e2b6d0 | Operation Repo
604f8f8622166000071a929f | BET Pluto TV
60804d85858bd00007c5d591 | Paranormal State
6081648340382e0007f73d45 | Most Haunted
6081738748d3200007afb24b | Highway to Heaven
60817936fd2d70000763d2b2 | Wild at Heart
60e452730e76f20007598de8 | Homicide Hunter
60e453641239a700071f53a1 | Dog Whisperer
611f85396abc84000738417b | Beyond Belief: Fact or Fiction
612cda102f5f18000705e0bf | Pluto TV Horror
612f761008a9e50007984ba0 | Pluto TV Animation
61559552dd585f0007321eca | Bloomberg TV+
615af74dfe3d8e0007524511 | On The Case
619243059541940007d1ff86 | Pimp my Ride
619247c34a270700077c8415 | Pluto TV Sci-fi Series
6193c353d46f7e0007cfb770 | Iron Chef
61c49f1495f417000731cef0 | Inside Crime
61c4a09d6c959f0007189c93 | Mystery TV
